Apellido	Apellido º1	Apellidoº2	Ambos
GARCIA	1455085	1474331	77030
RODRIGUEZ	927670	937892	41849
GONZALEZ	924321	933269	40203
FERNANDEZ	905914	916827	49866
LOPEZ	868164	876446	33508
MARTINEZ	830245	837004	37748
SANCHEZ	815181	825024	33504
PEREZ	776532	789741	25567
GOMEZ	491345	495202	13399
MARTIN	482916	481168	20294
JIMENEZ	395500	395788	21928
HERNANDEZ	368058	371719	15070
RUIZ	366188	370280	8364
DIAZ	341845	342893	8192
MORENO	321129	322833	10005
MUÑOZ	281991	282689	6552
ALVAREZ	279515	278973	9357
ROMERO	222681	222969	4446
GUTIERREZ	195405	197490	3789
ALONSO	193403	191798	4507